Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
Federation of Small Businesses,"2 Catherine Pl, Westminster, London SW1E 6HF, UK",Westminster,51.499017,-0.140718,Number not found,Investor/ Funding Org,FSB Cash Advance,http://www.fsb.org.uk,http://www.fsb.org.uk/benefits/finance/fsb-cash-advance,"FSB unsecured business loans provide a way of raising finance for small businesses that is not secured to assets. This means business owners' property, stock or equipment is not at risk. Funding of between Â£1,000 and Â£300,000 can be in the business owner's account within days.
",Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Loan,https://www.growthhub.london/scheme/fsb-cash-advance/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Felix Capital,"27 Beak St, Soho, London W1F 9RU, UK",Westminster,51.512312,-0.138159,Number not found,Investor/ Funding Org,Venture Capital,www.felixcap.com,www.felixcap.com,"Felix Capital operates at the intersection of technology and creativity. They focus on digital lifestyle, investing in brands and related enabling technologies.",,,,,,,,,,x,x,,,,,,x,,,x,x,x,,x,,,
Female Founders Forum,,No borough found on the website,No latitude found,No longitude found,Number not found,Network/ Membership Org,Female Founders Forum,http://tenentrepreneurs.org/fff/,http://tenentrepreneurs.org/fff/,"The Female Founders Forum, which is a joint project from Barclays and The Entrepreneurs Network, was set up to encourage and support female entrepreneurship. In particular, the forum connects some of the UK's most inspirational women entrepreneurs with those with growth potential. For more information about events taking place in London, <a href=""https://www.tenentrepreneurs.org/events"">please click here</a>.

",Business growth|Business start up,Advice and Guidance|Starting your business,,,https://www.growthhub.london/scheme/female-founders-forum/,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Film London,"The Arts Building, Morris Place, London N4 3JG, United Kingdom",Islington,51.56614,-0.107738,+44 20 7613 7676,Enterprise Agency,Film London - Support for Film and Media,http://filmlondon.org.uk,http://filmlondon.org.uk,"Film London is the strategic agency for film and media in London and supports the growth and development of film, TV, video, commercials and interactive media.

It provides support, training, funding and events to start ups and small firms in the film-making and media industry. It also provides the Film London Directory, an online database of locations, crew and facilities in and around London.",Business growth|Business start up,Advice and Guidance|Financing your business|Starting your business,,,https://www.growthhub.london/scheme/film-london-support-for-film-and-media/,Starting your business|Financing your business|Managing your business,,,,x,,,,,,,,,,x,x,x,,x,x,x,x
Finance Kitchen,"JONATHAN FORD & CO, The Coach House 31 View Road, Rainhill, Merseyside, L35 0LF",St. Helens,53.411659,-2.765821,(409) 771-9222,Investor/ Funding Org,Finance Kitchen: Funding for Food & Drink Sector,http://www.financekitchen.london,http://www.financekitchen.london/finance_kitchen_looking_for_investment.php,"Finance Kitchen supports firms in the food and drink sector in London to access debt and equity funding. Finance Kitchen works with businesses at all stages and covers a number of situations in the life cycle of a food business including new starts, refits, business purchase, additional sites, management buyouts and short-term cash flow. Finance Kitchen also provides growth coaching and financial training as part of the funding package.

",Business growth|Business start up|Raising finance,Financing your business,,Equity,https://www.growthhub.london/scheme/finance-kitchen-funding-for-food-drink-sector/,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x
Financing Sharia Enterprise,"Hideaway Work Space, 1 Empire Mews, London, SW16 2BF",Lambeth,51.426921,-0.130426,Number not found,Investor/ Funding Org,Sharia-Compliant Start Up Funding,http://financingshariaenterprise.co.uk/,http://financingshariaenterprise.co.uk/,"Financing Sharia Enterprise is a not-for-profit funding provider based in London. It provides Sharia-compliant start-up loans to businesses in their first two years of trading. Business owners that are eligible for funding can also access advice, assistance and training to set up or grow their business.
",Business start up|Raising finance,Financing your business|Starting your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000",Loan,https://www.growthhub.london/scheme/sharia-compliant-start-up-funding/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x
Financing Start Up Enterprise,"15 Canada Square, London, E14 5GL",Tower Hamlets,51.505395,-0.016276,Number not found,Network/ Membership Org,Mentoring from the Start Up Loans Company,https://www.startuploans.co.uk,https://www.startuploans.co.uk/business-mentoring,"The Start Up Loans Company offers mentoring support to all recipients of its start up funding for up to 12 months. Working with an experienced mentor, start ups will have access to an outlet for discussing ideas and challenges; independent business advice; general guidance on areas they have less experience with; and access to new networks, connections and other helpful resources.
",Business start up|Personal development,Advice and Guidance|Mentoring|Starting your business,,,https://www.growthhub.london/scheme/mentoring/,Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x
Financing Start Up Enterprise,"15 Canada Square, London, E14 5GL",Tower Hamlets,51.505395,-0.016276,Number not found,Investor/ Funding Org,Start Up Loans,http://www.fsue.co.uk,http://www.fsue.co.uk,"Financing Start Up Enterprise provides start-up loans, and business advice and support to people who want to set up their own business, or to firms that are in their first two years of trading. Loans are repayable over a period of up to five years.
",Business planning|Business start up|Raising finance,Financing your business|Starting your business,"Â£1,000 - Â£25,000",Loan,https://www.growthhub.london/scheme/start-up-loans-3/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x
Finovate,"Kemp House, 152 City Road, London, England, EC1V 2NX",Islington,51.527271,-0.089097,Number not found,Network/ Membership Org,Finovate Fintech Networking,http://finovate.com/,http://finovate.com/,Finovate conferences showcase cutting-edge banking and financial technology through a unique blend of short-form demos and key insights from thought-leaders.,,,,,,,,x,,,x,,,,,,x,,,x,x,x,,x,,,
Finpoint,"2a Charing Cross Rd, Charing Cross, London WC2H 0HF, UK",Westminster,51.510273,-0.128125,(617) 348-1234,Investor/ Funding Org,FINPOINT Business Finance Platform,http://www.finpoint.co.uk,http://www.finpoint.co.uk,"Businesses based in London can access business loans, leasing, invoice or trade finance from over 80 banks and alternative lenders by preparing a single finance application. The online application is kept anonymous until final negotiations begin with the chosen lender.


",Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Crowdfunding|Equity|Loan,https://www.growthhub.london/scheme/finpoint-business-finance-platform/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Fintech Innovation Lab,"Suite 218,  Business Design Centre 52 Upper Street, Islington, London, England, N1 0QH",Islington,51.535509,-0.105346,Number not found,Accelerator/ Incubator/ Co Working Space,London’s FinTech Accelerator Lab,http://www.fintechinnovationlab.com/london/,http://www.fintechinnovationlab.com/london/,"London’s FinTech Accelerator Lab helps start-ups to build connections with relevant decision makers, gain valuable insights to take businesses to the next level, and catapult visibility with the people who matter. A community framework with a global reach.",,,,,,,,x,,,x,,,,,,x,,,,x,x,,x,x,,
Firestartr,"Unit 2  Foley Works, Foley Trading Estate, Hereford, Herefordshire, HR1 2SF","Herefordshire, County of",52.0524,-2.69973,Number not found,Investor/ Funding Org,Firestartr,http://www.firestartr.co/,http://www.firestartr.co/,Firestartr helps the most promising digital entrepreneurs take their companies from seed stage to series A and beyond.,,,,,,,x,,,,x,,,,,,x,,,x,x,x,,,,,
Firstminute Capital,"Northcliffe House, Derry St, Kensington, London W8 5TT, UK",Kensington and Chelsea,51.50137,-0.191152,Number not found,Investor/ Funding Org,Venture Capital,http://www.firstminute.capital/,http://www.firstminute.capital/,"First Minute Capital invests in valuations of approximately £10m post-money, but will make exceptions. They are founder driven, not sector driven.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,
Fleximize,"New Fetter Place, 8-10 New Fetter Lane, London, United Kingdom, EC4A 1AZ",City of London,51.5168,-0.1084,+44 20 7100 0110,Other,Fleximize Knowledge Hub,https://fleximize.com/,https://fleximize.com/articles,"The Fleximize Knowledge Hub provides information and articles on business topics that affect small and medium-sized firms. The articles include advice on topics such as accounting, business growth, clients and customers, employees, finance and funding, legal issues, marketing and sales.
",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/knowledge-hub/,Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Fleximize,"Absolute Print 50 Junction Road Archway, London, England, N19 5RD",Islington,51.564042,-0.135642,+44 20 7100 0110,Investor/ Funding Org,Flexible Business Loan from Fleximize,https://fleximize.com/,https://fleximize.com/services/flexible-business-loans,"With the Flexible Business Loan, limited companies registered in the UK can borrow from Â£5,000 to Â£500,000. Business owners can opt for top ups and for repayment holidays.
",Business growth|Business start up|Raising finance,Financing your business|Starting your business,"Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000",Loan,https://www.growthhub.london/scheme/flexible-business-loan/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Formax Credit,"107 Cheapside, London EC2V 6DN, UK",City of London,51.514177,-0.093577,+44 20 7967 1634,Investor/ Funding Org,Formx Credit Business Loan,https://www.formaxcredit.co.uk/,https://www.formaxcredit.co.uk/borrow,"Formax credit provides Unsecured Business Loans for Small and Medium Sized Enterprises (SMEs). Loans start at￡25,000.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Forum of Private Business,"Sovereign Court, 230 Upper Fifth Street, Central Milton Keynes, MK9 2HR",Milton Keynes,52.039822,-0.764372,+44 1565 626001,Public Sector,FPB Small Business Helpline,http://www.fpb.org,https://www.fpb.org/business-advice-legal-helpline/,"The Forum of Private Business runs a Small Business Advice Helpline for its members, along with a 24/7 legal advice line.

The Helpline provides practical advice about finance and debt recovery, legal issues, HR, health and safety, business development, purchasing, and management and leadership. Advice on tax, contracts, employment, and health and safety is backed up by comprehensive legal protection insurance (depending on membership package).
",Business planning|Business start up|HR|Innovation and development|Legal compliance issues|Managing finance|Personal development,Advice and Guidance|Starting your business|Managing your business,,,https://www.growthhub.london/scheme/small-business-helpline/,Financing your business|Finding and growing your team|Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,
Forward Partners,"2, Aurora Building, 124 East Rd, Hoxton, London N1 6FD, UK",Hackney,51.530306,-0.085666,Number not found,Investor/ Funding Org,Venture Capital,www.forwardpartners.com,www.forwardpartners.com,Forward Partners backs founders as early as day one with capital and 1000s of hours of hands-on help across all startup disciplines both at idea stage and at seed stage.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,,
Founder Institute,"STUDROCK, Unit 51 Britannia Way, Britannia Enterprise Park, Lichfield, Staffordshire, WS14 9UY",Lichfield,52.684908,-1.80154,Number not found,Accelerator/ Incubator/ Co Working Space,Founder Institute pre-seed accelerator,http://fi.co/?target=london,https://fi.co/join,"The Founder Institute pre-seed accelerator helps you get to traction and funding with a support network of startup experts that are invested in your success.
The Founder Institute focuses on helping tech or tech-enabled businesses at the pre-seed stage, including both solo-founders and teams.
The early price of the course is £999 GBP  and increases to £1199 GBP after the Early Deadline.",,,,,,,,,,,x,,,,,,x,,,x,x,,,x,x,,
Founders Factory,"Northcliffe House, Young St, Kensington, London W8 5EH, UK",Kensington and Chelsea,51.501645,-0.189647,Number not found,Accelerator/ Incubator/ Co Working Space,Incubator,www.foundersfactory.com,https://foundersfactory.com/incubator,"Founders Factory validates new ideas, leverage data, distribution and IP from their partners, then builds founding teams to develop 13 startups each year.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,,,
Founders Factory,"Northcliffe House, Young St, Kensington, London W8 5EH, UK",Kensington and Chelsea,51.501645,-0.189647,Number not found,Accelerator/ Incubator/ Co Working Space,Accelerator,www.foundersfactory.com,https://foundersfactory.com/accelerator,Founders Factory accelerator is bespoke and last 6 months. The founder designs their own program.A dedicated team runs the program. Founders Factory povides corporate access that brings you a competitive advantage.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
FoundersNation,"33 Queen Street, London, EC4R 1AP",City of London,51.511556,-0.093341,Number not found,Enterprise Agency,FoundersNation Free Co-founder Finder,http://www.founders-nation.com/,https://www.founders-nation.com/,Free service to become or find a co-founder.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Foward Fooding,"Unit 231- 232 Elephant & Castle, Shopping Centre, London, England, SE1 6TE",Southwark,51.494303,-0.099665,(414) 915-1070,Network/ Membership Org,The Food & Food Tech Innovation Hub,http://forwardfooding-hub.strikingly.com/,http://forwardfooding-hub.strikingly.com/,"The Food &amp; Food Tech Innovation Hub is a shared workspace for innovative food and food tech start-ups. It supports start-ups to network and collaborate with like-minded food tech businesses. The Hub provides:
<ul>
 	<li>Shared workspace</li>
 	<li>Events and workshops</li>
 	<li>Media studio for content creation.</li>
</ul>
The Hub also provides opportunities for corporates to connect with food start-ups to form and progress collaborations that deliver business outcomes for both parties.

",,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/the-food-food-tech-innovation-hub/,,,,,,,,,,,,,,,x,x,,,x,x,,
Fredericks Foundation,"Fredericks House, 39 Guildford Rd, Lightwater GU18 5SA, United Kingdom",Surrey Heath,51.350378,-0.664333,Number not found,Investor/ Funding Org,Business Loans from Fredericks Foundation,http://www.fredericksfoundation.org,http://www.fredericksfoundation.org/poor-credit-loan,"Fredericks Foundation provides loans for firms who cannot access mainstream finance. Applicants must be able to demonstrate that they have been turned down by a mainstream lender. Start ups can apply for a maximum of Â£10,000, although average start-up loans are less than Â£5,000. For established firms a growth loan of up to Â£16,000 is available.

",Business growth|Business start up|Raising finance,Financing your business|Starting your business,"Â£1,000 - Â£25,000",Loan,https://www.growthhub.london/scheme/loans-for-businesses/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Frog Capital,"1a Birkenhead St, Kings Cross, London WC1H 8BA, UK",Camden,51.530027,-0.121793,Number not found,Investor/ Funding Org,Growth/Expansion,www.frogcapital.com,www.frogcapital.com,"Frog Capital invests in software enabled scale-up stage tech companies in Europe. Frog Capital invest in equity rounds of €5m - €20m in companies with annualised revenues of typically €3m - €30m. Frog Capital invests in consumer, financial and business services.",,,,,,,,,,,x,,,,,,x,,,,x,x,,x,x,x,
Fuel Ventures,"RocketSpace, 40 Islington High St, London N1 8XB, United Kingdom",Islington,51.533075,-0.105534,(608) 783-9516,Investor/ Funding Org,Fuel Ventures,https://www.fuel.ventures/,https://www.fuel.ventures/,"Fuel Ventures is a UK Early Stage Venture Capital Fund. The Fuel Ventures UK VC Fund focuses on early stage B2B and B2C Marketplaces, Platforms and Software (SaaS) business models, identifying and funding the early stage seed.and growth stages.",,,,,,,,,,,x,,,,,,x,,,x,x,,,x,,,
Fund Manager Amber Infrastructure Ltd,"3 More London Riverside, 3 More London Riverside, London SE1 2RE, UK",Southwark,51.504315,-0.079983,Number not found,Investor/ Funding Org,Mayor's Energy Efficiency Fund,https://www.amberinfrastructure.com/,https://www.london.gov.uk/press-releases/mayoral/mayors-500m-energy-fund-9,"Building on the legacy of the London Green Fund, the Mayor of London’s Energy Efficiency Fund (MEEF) will invest, by way of loans and equity investments, in low carbon projects that will help to achieve London’s own carbon strategic ambition of 60% reduction in CO2 emissions by 2025.
The MEEF expects to invest in 30 enterprises, secure £260m of additional funding, create an additional capacity of 17 MW of renewable energy, save 36,746 tonnes of CO2 per annum, improve 774 household’s energy consumption and reduce energy consumption of public buildings by 747,190kWh/year.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Funding Circle,"71 Queen Victoria St, London EC4V 4AY, UK",City of London,51.511977,-0.094796,(855) 385-5356,Investor/ Funding Org,Business Loans from Funding Circle,http://www.fundingcircle.com/uk,https://www.fundingcircle.com/uk/businesses/,"Funding Circle is designed to give small and medium-sized firms fast access to affordable finance. Unsecured loans of between Â£10,000 and Â£500,000 are available, and firms can borrow over six months to five years. Rates start from 1.9% per year.

",Raising finance,Financing your business,"Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000",Crowdfunding,https://www.growthhub.london/scheme/business-loans-2/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x
Funding London,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Investor/ Funding Org,"Funding for High-growth Tech, Science and Digital Start Ups",http://fundinglondon.co.uk,http://fundinglondon.co.uk/funding/our-funds/,"Funding London bridges the funding gap and channels funds to early-stage high-growth SMEs in London. It manages a number of funds that each target a section of early-stage and small businesses for whom there is a funding gap.
",Business growth|Business start up|Raising finance,Financing your business|Starting your business,"Â£250,000 - Â£500,000|Â£500,000+",Equity|Loan,https://www.growthhub.london/scheme/funding-london/,Financing your business,x,,,,x,,,,,,x,,,,x,x,,,x,x,
Funding Options,"4 Christopher St, London EC2A 2BS, UK",Hackney,51.521398,-0.084096,Number not found,Investor/ Funding Org,Funding Options,https://fpb.fundingoptions.com,https://fpb.fundingoptions.com,"Funding Options helps businesses to find finance that meets their needs, even if they've been turned down by a high street bank. Funding Options works with more than 50 lenders, and covers firms of all sizes, stages and sectors.

",Legal compliance issues|Managing finance|Raising finance,Advice and Guidance|Financing your business,,,https://www.growthhub.london/scheme/finance-finder/,Financing your business|Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
FundingKnight,"3rd Floor, Belvedere House, Basing View, Basingstoke RG21 4HG, UK",Basingstoke and Deane,51.267892,-1.077497,+44 23 9298 5267,Investor/ Funding Org,Business Loans from FundingKnight,https://www.fundingknight.com,https://www.fundingknight.com/uk-business-loans/,"Any British-based limited company, or limited liability partnership with a UK bank account can apply for a business loan financed by private investors via FundingKnight. Loans of between Â£250,000 and Â£1 million are available to small businesses planning to expand. Secured and unsecured loans are available, with terms of between six months and five years. FundingKnight does not lend to start ups.
",Business growth|Raising finance,Financing your business|Starting your business,"Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Crowdfunding|Loan,https://www.growthhub.london/scheme/business-loans/,Financing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
FundingKnight,"3rd Floor, Belvedere House, Basing View, Basingstoke RG21 4HG, UK",Basingstoke and Deane,51.267892,-1.077497,+44 23 9298 5267,Investor/ Funding Org,Commercial Property Loan,http://www.fundingknight.com,http://www.fundingknight.com/property-bridging-loans,"FundingKnight provides loans to allow property owners or investors to improve, purchase or refinance commercial property. Loans of between Â£250,000 and Â£5 million are available, with terms of up to 60 months.
",Raising finance|Workspace and premises,Financing your business,"Â£100,000 - Â£250,000|Â£250,000 - Â£500,000|Â£500,000+",Loan,https://www.growthhub.london/scheme/property-bridging-loans/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x
Fusion Global Capital,"St. Magnus House, 6th Floor, 3 Lower Thames Street, London, England, EC3R 6HD",City of London,51.509215,-0.085455,Number not found,Investor/ Funding Org,Growth/Expansion,https://www.fusionglobalcapital.com/,https://www.fusionglobalcapital.com/,"Fusion Global Capital is focused on b2b technology companies, especially in enterprise software.",,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,x,x,
GR Capital,"300 Plaza Dr #260, Highlands Ranch, CO 80129",No borough found on the website,No latitude found,No longitude found,(303) 350-4708,Investor/ Funding Org,Venture Capital,http://gr.capital/,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,
Geovation,"Sutton Yard., 65 Goswell Rd, London EC1V 7EN, UK",Islington,51.524419,-0.099539,Number not found,Accelerator/ Incubator/ Co Working Space,Geovation: location and property accelerator,https://geovation.uk/,https://geovation.uk/accelerator/,"Geovation provides accelerator programmes, events and practical development resources to startups that need access to location or property data.

The Geovation Accelerator provides tailored support to startups that want to create a product or business that uses property or location data. The accelerators provide access to workspace, mentors, grant funding, data, product development support, and marketing and PR services.",,Starting your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000",,https://www.growthhub.london/scheme/geovation-location-and-property-accelerator/,Starting your business,,,,,,,,,,,,,,x,x,,,x,x,,
Geovation,"Sutton Yard., 65 Goswell Rd, London EC1V 7EN, UK",Islington,51.524419,-0.099539,Number not found,Accelerator/ Incubator/ Co Working Space,Geovation,https://geovation.uk/,https://geovation.uk/,The Goevation Hub is London’s digital district data lab. A place for all creative SMEs and startup businesses who want to experiment with property and location information and technology.,,,,,,,,,,x,x,,,,,,x,,x,x,x,x,,x,,,
GetSet for Growth,"Mindspace The Relay Building, 114 Whitechapel High St, London E1 7PT, United Kingdom",Tower Hamlets,51.515379,-0.072513,Number not found,Investor/ Funding Org,GetSet for Growth,https://www.getsetforgrowth.com/london/,https://www.getsetforgrowth.com/london/,"GetSet for Growth offers free business support for companies in the boroughs of East and South London.

GetSet for Growth is a free investment readiness and business growth service for start ups and established firms in East London and South London (including North East and South East and South West London).

Through a combination of masterclasses, one-to-one, face to face, advice and coaching, GetSet for GrowthÂ helps you strengthen your business and marketing strategies in order to generate more money from more customers and work with you to secure finance to invest in your growth.

We equip business owners with the knowledge, confidence and skills to grow their business. In particular, businesses will learn how to access finance for growth; create, develop and strengthen marketing and sales strategies; and offer world-class skills and knowledge through free workshops that you can find on ourÂ <a href=""https://www.getsetforgrowth.com/london/#events"">event page</a>.

",Business growth|Business planning|Business start up,Advice and Guidance|Mentoring|Starting your business,,,https://www.growthhub.london/scheme/getset-for-growth/,Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,x,
Girls in Tech,"3RD FLOOR, Portland House, Bressenden Place, London, SW1E 5BH",Westminster,51.497421,-0.141604,Number not found,Network/ Membership Org,Girls in tech mentoring,http://london.girlsintech.org/,http://london.girlsintech.org/,Girls in Tech London organises events for women in tech that provide mentorship and amplify voices.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Goldman Sachs,"Fifth Floor, 3 Gower Street, London, United Kingdom, WC1E 6HA",Camden,51.519893,-0.130253,Number not found,Investor/ Funding Org,Finance for the Alternative Energy Sector,http://www.goldmansachs.com,https://www.goldmansachs.com/what-we-do/investing-and-lending/middle-market-financing-and-investing/alternative-energy/,"The Goldman Sachs Alternative Energy Group deploys capital in the alternative energy sector (including unconventional oil and gas, solar, wind and energy storage sectors). Financial products on offer include growth equity, loans, bonds, project finance, derivatives and leases.
",Raising finance,Financing your business,"Â£500,000+",Equity|Loan,https://www.growthhub.london/scheme/asset-management/,Financing your business,,,,,,,,,,,,,,,x,x,x,x,x,x,x
Goldman Sachs,"Fifth Floor, 3 Gower Street, London, United Kingdom, WC1E 6HA",Camden,51.519893,-0.130253,Number not found,Investor/ Funding Org,Specialty Business Lending from Goldman Sachs,http://www.goldmansachs.com,https://www.goldmansachs.com/what-we-do/investing-and-lending/middle-market-financing-and-investing/specialty-lending/,"Goldman Sachs provides business owners with simple, streamlined financing solutions, in particular for: leveraged and management buy-out, recapitalisation, expansion and growth financing, turnaround, restructuring and exit financing. Speciality lending options are available for companies with varying credit risks.

Target industries include: business services, consumer products, healthcare, franchising, lender finance, media, oil and gas, retail, software, technology and telecom/wireless.


",Business growth|Raising finance,Financing your business,"Â£500,000+",,https://www.growthhub.london/scheme/specialty-lending/,Financing your business|Accessing new business,x,x,,,x,x,,,x,x,x,,,,x,x,x,,,x,x
Goldman Sachs,"Fifth Floor, 3 Gower Street, London, United Kingdom, WC1E 6HA",Camden,51.519893,-0.130253,Number not found,Investor/ Funding Org,"Goldman Sachs 10,000 Small Businesses",http://www.goldmansachs.com/citizenship/10000-small-businesses/UK,http://www.goldmansachs.com/citizenship/10000-small-businesses/UK,"Small businesses play a vital role in creating jobs and economic growth in the UK. Goldman Sachs 10,000 Small Businesses UK programme addresses the support gap for growth-orientated small businesses, helping them to unlock their economic and job creation potential. Designed by business education experts and run in partnership with leading UK universities and business schools, the programme is fully funded for all participants.

The 10KSB UK Programme is a partnership between Goldman Sachs, the Goldman Sachs Foundation and leading UK universities.

For more information visit our website: <a href=""http://www.gs.com/10ksb-uk"">www.gs.com/10ksb-uk. </a>

",Business growth,Finding and growing your team|Advice and Guidance,,,https://www.growthhub.london/scheme/goldman-sachs-10000-small-businesses/,Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,,
Goldman Sachs,"Fifth Floor, 3 Gower Street, London, United Kingdom, WC1E 6HA",Camden,51.519893,-0.130253,Number not found,Investor/ Funding Org,Articles for Small Business Owners,https://www.goldmansachs.com/index.html,https://www.goldmansachs.com/citizenship/10000-small-businesses/US/about-the-program/articles/index.html,"Goldman Sachs has assembled a series of articles for small business owners. These factsheets include a wide range of business-related information suitable for start ups and existing firms. Topics covered include accessing capital, using financial metrics, marketing and leadership.
",Business growth|Business planning|Business start up|Raising finance,Advice and Guidance|Starting your business|Managing your business,"Â£500,000+",Loan,https://www.growthhub.london/scheme/articles-for-small-business-owners/,Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Goldman Sachs,"Kemp House, 152-160 City Road, London, England, EC1V 2NX",Islington,51.527271,-0.089097,Number not found,Investor/ Funding Org,Private Capital Investing,http://www.goldmansachs.com,http://www.goldmansachs.com/what-we-do/investing-and-lending/middle-market-financing-and-investing/private-capital-investing,"The Goldman Sachs Private Capital Investing group is an investment platform providing equity and mezzanine capital to growing firms across the UK, US and Europe. The group underwrites investments of between $20 million and $150 million, and has the ability to support growth with supplemental capital.
",Raising finance,Financing your business,"Â£500,000+",Equity|Loan,https://www.growthhub.london/scheme/private-capital-investing/,Financing your business,x,x,,,x,,,,,,x,,,,x,x,x,,,x,x
Goldsmiths,"8 Lewisham Way, New Cross, London SE14 6NW, UK",Lewisham,51.474144,-0.035401,Number not found,Education Institution,,http://www.gold.ac.uk,http://www.gold.ac.uk/conference-services/spaces/,"Goldsmiths offers an eclectic collections of spaces, from traditional to contemporary. The Conference Services team is also on hand to help you plan and execute a successful event.

",Workspace and premises,Premises and open workspace,,,https://www.growthhub.london/scheme/goldsmiths-workspace/,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Good2Great,"Saffron House,Third Floor, Park Lane, Croydon, England, CR0 1DY",Croydon,51.36892,-0.096456,Number not found,Enterprise Agency,Good2Great Business Growth Show,https://good-2-great.co.uk/,https://good-2-great.co.uk/,Good2Great Business Growth Show FREE seminar teaches the 5 Essential Steps Of How To Grow Your Business so you can dramatically increase profits and realise your business ambitions.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,,,
Good2Great,"Saffron House,Third Floor, Park Lane, Croydon, England, CR0 1DY",Croydon,51.36892,-0.096456,Number not found,Enterprise Agency,Good2Great Free Business Health Check,https://good-2-great.co.uk/,https://good-2-great.co.uk/,Good2Great FREE Business Health Check evaluates the sustainability of your business.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,,,
